Name,Marketcap,Country,Share price,Change (1 day),Change (1 year),Categories
Maersk,$24.35 B,Denmark,"$1,517",1.01%,-25.45%,"🚚 Transportation, 🚢 Container shipping, 🚢 Maritime transportation"
Central Japan Railway,$24.41 B,Japan,$24.81,0.00%,-79.04%,"🚂 Railways, 🚚 Transportation"
Toyota Industries,$24.39 B,Japan,$78.56,-5.38%,44.60%,N/A
BioNTech,$24.79 B,Germany,$103.43,1.48%,-39.80%,"💊 Pharmaceuticals, 🧬 Biotech, 🧬 mRNA therapeutics"
EnBW Energie,$24.08 B,Germany,$88.93,-1.20%,-0.48%,"🔋 Electricity, ⚡ Energy"
Fortive,$24.21 B,USA,$68.89,-0.25%,3.50%,🏙 Conglomerate
Terumo,$24.37 B,Japan,$32.73,-0.40%,14.20%,Medical devices
Airports of Thailand,$24.41 B,Thailand,$1.71,0.00%,-19.34%,"🛫 Airports, 🛣️ Infrastructure"
CGI,$24.17 B,Canada,$104.13,0.11%,21.04%,💼 Professional services
Schindler Group,$24.15 B,Switzerland,$220.69,1.31%,23.96%,N/A
ResMed,$23.95 B,USA,$162.87,-0.38%,-26.80%,Medical devices
Rogers Communication,$24.00 B,Canada,$45.47,-0.18%,1.20%,"📰 Media/Press, 📡 Telecommunication"
Mettler-Toledo,$23.64 B,USA,"$1,091",-0.86%,-26.45%,N/A
Fujifilm,$23.90 B,Japan,$59.59,-0.19%,15.71%,🏙 Conglomerate
Garmin,$23.83 B,Switzerland,$124.59,0.16%,30.31%,"👩‍💻 Tech, 🔌 Electronics"
ULTA Beauty,$23.41 B,USA,$482.16,-1.57%,0.11%,"🛍️ Retail, 💄 Cosmetics and Beauty"
Pinterest,$23.54 B,USA,$34.91,2.62%,54.33%,🖥️ Internet
National Bank of Canada,$23.53 B,Canada,$69.59,0.50%,1.38%,"🏦 Banks, 💳 Financial services"
Z Holdings,$23.65 B,Japan,$3.14,4.43%,19.85%,🖥️ Internet
Evolution Gaming,$23.63 B,Sweden,$110.62,2.87%,6.58%,"🎰 Gambling, Entertainment"
China Tourism Group Duty Free,$23.55 B,China,$11.49,-0.70%,-62.65%,🛍️ Retail
ČEZ Group,$23.57 B,cz Czech Republic,$43.92,-0.75%,36.87%,"🛢 Oil&Gas, 🔋 Electricity, ⚡ Energy"
The Hartford,$23.54 B,USA,$78.28,-0.01%,4.58%,"🏦 Insurance, 💳 Financial services"
YANGHE,$23.48 B,China,$15.59,-1.05%,-28.75%,"🍷 Alcoholic beverages, 🥤 Beverages"
China Resources Land,$23.47 B,Hong Kong,$3.29,-4.64%,N/A,🏠 Real estate
Galaxy Entertainment,$23.46 B,Hong Kong,$5.37,2.07%,-20.44%,"🏨 Hotels, 🌴 Travel"
Carnival Corporation,$23.65 B,USA,$18.11,1.00%,100.55%,"🌴 Travel, 🛳 Cruise Lines"
Yili Group,$23.42 B,China,$3.68,0.04%,-17.86%,🥛 Dairy companies
Associated British Foods,$23.33 B,UK,$30.49,-0.29%,50.87%,🍴 Food
Vonovia,$23.34 B,Germany,$28.62,-1.30%,16.11%,"🏠 Real estate, 🇩🇪 DAX, 🏘️ REITs"
Komatsu,$23.25 B,Japan,$24.58,-3.72%,8.62%,"⚙️ Machinery manufacturing, 🏭 Manufacturing"
China Securities,$23.07 B,China,$3.55,1.27%,-3.53%,💳 Financial services
Panasonic,$23.10 B,Japan,$9.90,-0.38%,10.12%,"👩‍💻 Tech, 🔌 Electronics, 💻 Tech Hardware"
SAIC Motor,$23.02 B,China,$1.97,0.57%,-10.05%,"🚗 Automakers, 🏭 Manufacturing"
Church & Dwight,$22.89 B,USA,$92.94,-1.29%,14.53%,🛍 Consumer goods
Tractor Supply,$22.92 B,USA,$212.07,1.44%,-3.39%,🛍️ Retail
Aptiv,$22.58 B,Ireland,$79.83,-1.26%,-14.58%,"🚘 Automotive Suppliers, 🤖 Autonomous driving"
KONE,$22.79 B,Finland,$44.07,-0.20%,-12.33%,"💼 Professional services, 👷 Engineering"
Samsung SDI,$22.70 B,South Korea,$188.91,1.22%,-21.81%,"🔋 Electricity, 🔋 Batteries"
State Street Corporation,$22.82 B,USA,$73.97,1.08%,-5.31%,"🏦 Banks, 💳 Financial services"
Veolia,$22.48 B,France,$31.89,1.16%,23.80%,"♻️ Waste & Recycling, 🇫🇷 CAC 40"
Mitsui Fudosan,$22.63 B,Japan,$24.24,-2.21%,26.58%,🏠 Real estate
Endesa,$22.54 B,Spain,$21.30,0.36%,14.45%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
National Bank of Kuwait,$22.62 B,eu Kuwait,"$2,853",-0.23%,"83,810.88%","🏦 Banks, 💳 Financial services"
Broadridge Financial Solutions,$22.51 B,USA,$191.36,-0.34%,32.14%,"💼 Professional services, 💳 Financial services"
Sea (Garena),$22.75 B,Singapore,$40.00,2.46%,-34.51%,"🛒 E-Commerce, 💳 Financial services, 🖥️ Internet, 👩‍💻 Tech, 🎮 Video games, Entertainment"
Grupo Bimbo,$21.94 B,Mexico,$4.99,-2.09%,14.45%,🍴 Food
Weyerhaeuser,$22.53 B,USA,$30.87,-0.06%,-2.53%,N/A
China Everbright Bank,$22.34 B,China,$0.40,1.05%,-11.11%,"🏦 Banks, 💳 Financial services"
T. Rowe Price,$21.99 B,USA,$98.44,-1.50%,-19.48%,💰 Investment
Disco Corp.,$22.31 B,Japan,$205.96,-0.29%,-29.69%,"📟 Semiconductors, 👩‍💻 Tech"
Equity Residential,$22.33 B,USA,$58.82,0.20%,-6.20%,🏠 Real estate
Fairfax Financial,$22.45 B,Canada,$910.62,0.99%,57.53%,N/A
Standard Chartered,$22.14 B,UK,$8.31,1.54%,15.10%,"🏦 Banks, 💳 Financial services"
DTE Energy,$22.40 B,USA,$108.61,1.30%,-7.69%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
MTR Corporation,$22.21 B,Hong Kong,$3.57,0.00%,-26.09%,N/A
M&T Bank,$22.01 B,USA,$132.65,-0.10%,-11.64%,"🏦 Banks, 💳 Financial services"
Raymond James,$22.33 B,USA,$107.05,1.59%,-5.82%,💳 Financial services
Sampo,$22.22 B,Finland,$44.29,0.51%,-14.02%,🏦 Insurance
Zoom,$22.24 B,USA,$73.06,1.57%,0.97%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech"
ICON plc,$22.43 B,Ireland,$272.46,1.59%,37.27%,"💊 Pharmaceuticals, 🧬 Biotech"
Chongqing Changan,$22.07 B,China,$2.56,-3.12%,28.64%,"🚗 Automakers, 🏭 Manufacturing"
Shenzhen Inovance,$22.01 B,China,$8.25,0.82%,-19.20%,N/A
Hindustan Aeronautics,$21.93 B,India,$32.80,1.63%,-2.00%,"✈️ Aircraft manufacturers, 🚀 Aerospace, 🔫 Defense contractors"
LONGi Green Energy Technology,$21.92 B,China,$2.89,-0.24%,-56.67%,"🔋 Electricity, 🌞 Renewable energy, ⚡ Energy"
Budweiser APAC,$21.94 B,Hong Kong,$1.66,-0.31%,-46.28%,"🍷 Alcoholic beverages, 🥤 Beverages"
Danske Bank,$22.26 B,Denmark,$25.90,0.54%,43.25%,"🏦 Banks, 💳 Financial services"
Straumann,$21.81 B,Switzerland,$136.90,1.61%,20.47%,Medical devices
Howmet Aerospace,$21.92 B,USA,$53.26,0.99%,41.50%,🚀 Aerospace
Alnylam Pharmaceuticals,$21.33 B,USA,$170.04,-4.07%,-28.56%,"💊 Pharmaceuticals, 🧬 Biotech"
VeriSign,$21.74 B,USA,$212.97,-0.75%,7.89%,🖥️ Internet
HEICO,$21.79 B,USA,$178.91,0.66%,12.60%,🔌 Electronics
Astellas Pharma,$21.73 B,Japan,$12.09,-2.35%,-22.40%,"💊 Pharmaceuticals, 🧬 Biotech"
China Minsheng Bank,$21.64 B,China,$0.53,0.26%,3.92%,"🏦 Banks, 💳 Financial services"
Hapag-Lloyd,$21.11 B,Germany,$119.25,0.36%,-38.15%,"🚚 Transportation, 🚢 Container shipping, 🚢 Maritime transportation"
Epiroc,$21.76 B,Sweden,$19.16,-0.33%,3.12%,"⚙️ Machinery manufacturing, 🏭 Manufacturing"
eBay,$21.42 B,USA,$41.29,-0.46%,-5.90%,"🛒 E-Commerce, 🖥️ Internet, 👩‍💻 Tech"
ORIX,$21.72 B,Japan,$94.03,-0.25%,18.44%,"🏦 Banks, 💳 Financial services"
Wheaton Precious Metals,$21.43 B,Canada,$47.31,-1.07%,19.71%,"⛏️ Mining, ⛏️ Silver Mining, ⛏️ Gold mining"
Publicis Groupe,$21.42 B,France,$85.54,0.74%,34.26%,"💼 Professional services, ➡️ Advertising, 🇫🇷 CAC 40"
Riyad Bank,$21.53 B,Saudi Arabia,$7.19,0.37%,-12.00%,"🏦 Banks, 💳 Financial services"
Advantest,$21.52 B,Japan,$29.21,-0.24%,-57.35%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Entergy,$21.57 B,USA,$102.01,0.12%,-12.81%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Nidec,$21.47 B,Japan,$37.35,-0.76%,-36.79%,"🔌 Electronics, 🏭 Manufacturing"
Lasertec,$21.47 B,Japan,$238.15,-0.95%,25.99%,"📟 Semiconductors, 👩‍💻 Tech, 💻 Tech Hardware"
Tradeweb,$21.20 B,USA,$90.35,-1.22%,40.71%,💳 Financial services
Swedbank,$21.50 B,Sweden,$19.12,0.46%,17.44%,"🏦 Banks, 💳 Financial services"
Wabtec,$21.21 B,USA,$118.40,-0.39%,15.68%,N/A
Trip.com,$21.57 B,China,$32.90,-0.36%,-2.37%,"🖥️ Internet, 👩‍💻 Tech, 🌴 Travel, 🌴 Online Travel"
Molina Healthcare,$21.43 B,USA,$367.72,1.18%,8.23%,"⚕️ Healthcare, 🏦 Insurance"
Fifth Third Bank,$21.28 B,USA,$31.25,1.43%,-4.78%,"🏦 Banks, 💳 Financial services"
FirstEnergy,$21.27 B,USA,$37.08,-0.59%,-11.08%,"🔋 Electricity, ⚡ Energy"
AIER Eye Hospital,$21.25 B,China,$2.28,1.94%,-45.32%,"⚕️ Healthcare, 🏥 Medical Care Facilities"
Genmab,$21.08 B,Denmark,$32.28,-0.25%,-29.58%,"💊 Pharmaceuticals, 🧬 Biotech"
Dai-ichi Life Holdings,$21.23 B,Japan,$21.60,-4.51%,14.53%,🏦 Insurance
East Japan Railway,$21.13 B,Japan,$56.11,-1.17%,-1.53%,"🚂 Railways, 🚚 Transportation"
Brown & Brown,$21.10 B,USA,$74.15,0.50%,28.35%,🏦 Insurance
ArcelorMittal,$20.85 B,Luxembourg,$25.35,-0.67%,-6.42%,"🇫🇷 CAC 40, 🔩 Steel producers, 🔩 Steel industry"
Nippon Steel,$21.06 B,Japan,$22.88,-2.97%,37.50%,"🔩 Steel producers, 🔩 Steel industry"
Ørsted,$21.37 B,Denmark,$49.47,-3.15%,-46.44%,"🔋 Electricity, ⚡ Energy"
Hang Seng Bank,$21.02 B,Hong Kong,$10.99,-1.44%,-30.66%,"🏦 Banks, 💳 Financial services"
Eversource Energy,$20.83 B,USA,$59.65,-1.19%,-29.48%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Hewlett Packard Enterprise,$20.80 B,USA,$16.22,0.62%,-0.43%,"👩‍💻 Tech, 📞 Networking hardware"
Otsuka Holdings,$20.99 B,Japan,$38.70,-2.55%,16.60%,"💊 Pharmaceuticals, 🧬 Biotech"
Cathay Financial Holding,$20.93 B,Taiwan,$1.43,-0.33%,7.52%,"🏦 Banks, 🏦 Insurance, 💳 Financial services"
Alexandria Real Estate Equities,$20.75 B,USA,$119.44,-2.07%,-19.66%,🏠 Real estate
Dollarama,$20.73 B,Canada,$73.34,-0.78%,17.10%,N/A
Rocket Companies,$20.88 B,USA,$10.51,1.55%,23.65%,"🏠 Real estate, 💳 Financial services"
Itaúsa,$20.68 B,Brazil,$2.01,0.71%,16.86%,🏙 Conglomerate
Franco-Nevada,$20.84 B,Canada,$108.49,1.01%,-24.46%,"⛏️ Mining, 💰 Investment, ⛏️ Gold mining"
MS&AD Insurance,$20.66 B,Japan,$38.85,-2.96%,36.60%,🏦 Insurance
Bajaj Auto,$20.64 B,India,$72.89,-0.29%,64.87%,N/A
COSCO Shipping,$20.63 B,China,$1.39,-0.30%,-26.84%,"🚚 Transportation, 🚢 Container shipping, 🚢 Maritime transportation"
NVR,$20.77 B,USA,"$6,536",1.41%,39.23%,"💳 Financial services, 🏗 Construction"
First Citizens BancShares,$20.81 B,USA,"$1,446",1.20%,83.25%,"🏦 Banks, 💳 Financial services"
Ameren,$20.51 B,USA,$78.02,-0.90%,-11.52%,"🔋 Electricity, ⚡ Energy"
Société Générale,$20.61 B,France,$25.94,1.46%,10.57%,"🏦 Banks, 💳 Financial services, 🇫🇷 CAC 40"
PulteGroup,$20.76 B,USA,$96.31,1.96%,116.87%,🏗 Construction
BOE Technology,$20.46 B,China,$0.54,1.04%,3.85%,"🔌 Electronics, 🏭 Manufacturing"
Imperial Brands,$20.72 B,UK,$22.91,-1.97%,-9.38%,🚬 Tobacco
Saudi Electricity,$20.32 B,Saudi Arabia,$4.88,0.33%,-22.04%,"🔋 Electricity, ⚡ Energy"
EDP Group,$20.25 B,Portugal,$4.85,0.22%,0.83%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
LTIMindtree,$20.26 B,India,$68.49,2.54%,23.58%,"💼 Professional services, 🖥️ IT services"
Dover,$20.09 B,USA,$143.62,-0.05%,4.63%,🏭 Manufacturing
POSCO Chemical,$20.22 B,South Korea,$261.28,2.54%,68.31%,🧪 Chemicals
Borouge,$20.21 B,eu United Arab Emirates,$0.67,0.00%,-6.94%,🧪 Chemicals
FirstRand,$19.66 B,South Africa,$3.51,0.15%,7.67%,"🏦 Banks, 💳 Financial services"
Invitation Homes,$20.32 B,USA,$33.08,1.01%,3.02%,🏠 Real estate
Indian Oil,$20.12 B,India,$1.43,-2.10%,53.76%,"🛢 Oil&Gas, ⚡ Energy"
Unicharm,$20.14 B,Japan,$34.14,0.98%,-8.81%,"🛍 Consumer goods, 🏭 Manufacturing"
Industries Qatar,$20.10 B,eu Qatar,$3.32,0.25%,-16.16%,"🧪 Chemicals, 🏙 Conglomerate"
Rollins,$20.05 B,USA,$41.43,0.17%,5.58%,N/A
Teck Resources,$20.12 B,Canada,$38.73,3.92%,3.95%,⛏️ Mining
Expedia Group,$20.20 B,USA,$145.50,1.29%,55.48%,"🖥️ Internet, 👩‍💻 Tech, 🌴 Travel, 🌴 Online Travel"
Walgreens Boots Alliance,$20.00 B,USA,$23.16,1.09%,-43.37%,"💊 Pharmaceuticals, 🛍️ Retail, 🇺🇸 Dow jones, 💊 Drugstore"
Tenaris,$19.89 B,Luxembourg,$33.96,1.19%,3.66%,"🔩 Steel industry, 🏭 Manufacturing"
Sartorius,$20.12 B,Germany,$258.47,2.35%,-22.07%,"🇩🇪 DAX, 🔬 Scientific & Technical Instruments"
Steris,$19.80 B,Ireland,$200.50,-0.74%,5.37%,N/A
Fortis,$19.88 B,Canada,$40.71,-0.37%,1.29%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
CLP Group,$19.80 B,Hong Kong,$7.84,0.74%,10.89%,"🔋 Electricity, ⚡ Energy"
Toyota Tsusho,$19.78 B,Japan,$56.24,-4.88%,46.08%,N/A
CK Hutchison Holdings,$19.71 B,Hong Kong,$5.15,0.75%,-9.65%,"⚓ Ports, 📡 Telecommunication, 🏙 Conglomerate, 🛣️ Infrastructure"
International Flavors & Fragrances,$19.61 B,USA,$76.82,-0.23%,-28.67%,"Flavors & Fragrances, 💄 Cosmetics and Beauty"
Kyocera,$19.64 B,Japan,$55.80,-1.11%,11.02%,N/A
Live Nation,$19.62 B,USA,$85.19,1.08%,19.20%,Entertainment
BeiGene,$19.53 B,China,$175.00,-2.43%,-12.84%,"💊 Pharmaceuticals, 🧬 Biotech"
PTC,$19.86 B,USA,$166.61,2.06%,36.83%,"💼 Professional services, 👨‍💻 Software, 👩‍💻 Tech"
Antofagasta,$18.79 B,UK,$19.06,4.23%,8.54%,"⛏️ Mining, 🏙 Conglomerate"
EDP Renováveis,$19.33 B,Spain,$18.81,-0.43%,-16.36%,"🔋 Electricity, 🚰 Utility companies, 🌞 Renewable energy, ⚡ Energy"
Cameco,$19.56 B,Canada,$45.09,1.97%,106.46%,"⛏️ Mining, ⚡ Energy, ☢️ Uranium"
J. B. Hunt,$19.24 B,USA,$186.62,-1.20%,4.90%,🚚 Transportation
China Unicom,$19.47 B,Hong Kong,$0.64,1.84%,10.34%,📡 Telecommunication
Geberit,$19.42 B,Switzerland,$579.37,0.40%,22.17%,N/A
United Microelectronics,$19.50 B,Taiwan,$7.80,0.00%,8.48%,"📟 Semiconductors, 👩‍💻 Tech"
KE Holdings,$18.64 B,China,$15.10,0.27%,-5.33%,🏠 Real estate
CRRC,$19.46 B,China,$0.42,-0.61%,2.44%,N/A
Teledyne,$19.41 B,USA,$411.49,1.11%,0.06%,🏙 Conglomerate
DLF,$19.30 B,India,$7.80,0.20%,58.54%,🏠 Real estate
Daiwa House,$19.32 B,Japan,$29.41,-3.57%,29.39%,🏗 Construction
Targa Resources,$19.30 B,USA,$86.56,2.17%,26.79%,"🛢 Oil&Gas, ⚡ Energy"
Darden Restaurants,$19.12 B,USA,$158.95,-1.33%,10.56%,"🍔 Restaurant chains, 🍴 Food"
UPM-Kymmene,$19.30 B,Finland,$36.20,2.76%,-4.08%,📄 Pulp and paper
Centrais Electricas Brasileiras,$19.32 B,Brazil,$8.34,-0.83%,1.83%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
Tata Steel,$19.21 B,India,$1.55,-0.62%,13.97%,"🔩 Steel producers, 🔩 Steel industry"
Bank of Ningbo,$19.19 B,China,$2.91,-1.00%,-36.60%,"🏦 Banks, 💳 Financial services"
Suzuki Motor,$19.20 B,Japan,$39.81,-2.50%,15.06%,"🚗 Automakers, 🏭 Manufacturing"
Iron Mountain,$19.11 B,USA,$65.45,-0.21%,19.85%,💼 Professional services
Asahi Group,$19.19 B,Japan,$37.88,-1.81%,19.57%,"🍷 Alcoholic beverages, 🥤 Beverages"
PPL,$19.20 B,USA,$26.06,-0.11%,-10.32%,"🔋 Electricity, ⚡ Energy"
Svenska Handelsbanken,$19.16 B,Sweden,$9.86,0.05%,0.51%,"🏦 Banks, 💳 Financial services"
Ajinomoto,$19.00 B,Japan,$36.55,-4.79%,13.37%,🍴 Food
Nexon,$19.00 B,Japan,$22.42,0.00%,2.99%,"👩‍💻 Tech, 🎮 Video games, Entertainment"
Genuine Parts Company,$18.64 B,USA,$132.98,-0.97%,-28.36%,auto parts
Ericsson,$18.84 B,Sweden,$5.66,1.25%,-11.56%,"👩‍💻 Tech, 📡 Telecommunications equipment"
ASE Group,$18.88 B,Taiwan,$8.77,1.15%,30.12%,"📟 Semiconductors, 👩‍💻 Tech"
Alinma Bank,$18.79 B,Saudi Arabia,$9.46,-0.42%,13.16%,"🏦 Banks, 💳 Financial services"
Blue Owl Capital,$18.68 B,USA,$13.26,-1.41%,18.18%,"💳 Financial services, Asset Management"
Cboe,$18.86 B,USA,$178.72,0.82%,40.92%,"💳 Financial services, 🏛 Stock exchanges, 🏛 Stock/Crypto exchanges"
Talanx,$18.81 B,Germany,$72.85,1.35%,58.58%,"🏦 Insurance, 💳 Financial services"
Ventas,$18.79 B,USA,$46.72,1.08%,3.50%,🏠 Real estate
Coterra Energy,$18.57 B,USA,$24.70,0.49%,-1.00%,"🛢 Oil&Gas, ⚡ Energy"
Steel Dynamics,$18.31 B,USA,$113.16,-1.09%,2.84%,"🔩 Steel producers, 🔩 Steel industry"
Samsara,$18.18 B,USA,$33.67,-0.18%,170.66%,"👨‍💻 Software, 👩‍💻 Tech, IoT, 💻 Tech Hardware"
Fleetcor,$18.49 B,USA,$256.09,0.01%,38.90%,💳 Financial services
Philips,$18.47 B,Netherlands,$20.17,2.13%,44.28%,🔌 Electronics
Kaō,$18.58 B,Japan,$39.98,1.34%,-0.79%,"🛍 Consumer goods, 💄 Cosmetics and Beauty"
NetApp,$18.41 B,USA,$89.39,0.35%,39.85%,"👨‍💻 Software, 👩‍💻 Tech"
Kaspi.kz Joint Stock Company,$18.85 B,eu Kazakhstan,$92.27,-2.29%,30.03%,"👨‍💻 Software, 💳 Financial services, 👩‍💻 Tech"
Coca-Cola FEMSA,$18.61 B,Mexico,$88.59,0.62%,33.44%,🥤 Beverages
Advanced Info Service (AIS),$18.63 B,Thailand,$6.27,0.00%,17.42%,📡 Telecommunication
Repsol,$18.53 B,Spain,$15.04,0.98%,0.87%,"🛢 Oil&Gas, ⚡ Energy"
Baxter,$18.33 B,USA,$36.15,-1.04%,-31.30%,"💊 Pharmaceuticals, ⚕️ Healthcare, 🧬 Biotech"
Illumina,$17.93 B,USA,$112.94,-3.58%,-46.33%,"🧬 Biotech, 🏭 Manufacturing, 🧬 Genomics"
Kellogg's,$18.39 B,USA,$53.70,-0.85%,-26.90%,🍴 Food
The Saudi British Bank,$18.45 B,Saudi Arabia,$8.98,-0.15%,-8.46%,"🏦 Banks, 💳 Financial services"
Swiss Life,$18.45 B,Switzerland,$653.16,1.38%,25.28%,🏦 Insurance
LabCorp,$18.38 B,USA,$216.60,-0.47%,-8.10%,"💊 Pharmaceuticals, 🧬 Biotech"
Power Corporation of Canada,$18.45 B,Canada,$28.09,0.45%,16.17%,N/A
Pembina Pipeline,$18.37 B,Canada,$33.45,0.66%,-2.71%,"🛢 Oil&Gas, 🚚 Transportation, ⚡ Energy, 🛣️ Infrastructure"
W. R. Berkley,$18.39 B,USA,$71.33,0.61%,-4.18%,🏦 Insurance
Tyson Foods,$18.25 B,USA,$51.38,-0.31%,-19.54%,🍴 Food
Rivian,$18.23 B,USA,$19.04,-0.78%,-33.38%,"🚗 Automakers, 🔋 Electric Vehicles, 🏭 Manufacturing"
China Tower,$18.25 B,China,$0.10,0.00%,-9.09%,"📡 Telecommunication, 🛣️ Infrastructure"
Builders FirstSource,$18.21 B,USA,$147.70,0.77%,122.41%,🧱 Building materials
Techtronic Industries,$18.21 B,Hong Kong,$9.93,-0.77%,-17.04%,"🔌 Electronics, 🛠️ Tool manufacturers, 🏭 Manufacturing"
McCormick & Company,$17.99 B,USA,$67.09,-0.94%,-21.67%,🍴 Food
China Overseas Land & Investment,$18.16 B,Hong Kong,$1.66,-3.86%,-34.39%,"🏠 Real estate, 💰 Investment"
UWM Holdings,$18.18 B,USA,$5.87,1.91%,27.33%,💳 Financial services
Legal & General,$18.13 B,UK,$3.03,0.50%,-1.62%,"💰 Investment, Asset Management"
CenterPoint Energy,$18.16 B,USA,$28.77,0.03%,-5.21%,"🔋 Electricity, ⚡ Energy"
Aeon,$18.13 B,Japan,$21.21,-0.07%,3.36%,"🛍️ Retail, 🛒 Supermarket Chains"
Ball Corporation,$18.13 B,USA,$57.51,0.52%,6.72%,📦 Packaging
Nippon Paint,$18.06 B,Japan,$7.69,0.54%,-11.51%,🎨 Paint & Coating
Markel,$18.16 B,USA,"$1,374",0.57%,6.56%,"🏦 Insurance, 💰 Investment"
DiDi,$18.12 B,China,$3.77,-1.57%,-9.16%,"🖥️ Internet, 👩‍💻 Tech, 🚚 Transportation, 🚘 Ridesharing"
Mitsubishi Heavy Industries,$17.95 B,Japan,$53.49,-3.49%,36.84%,N/A
PKN Orlen,$17.96 B,Poland,$15.47,2.23%,9.56%,"🛢 Oil&Gas, ⚡ Energy"
Principal,$17.91 B,USA,$75.15,0.67%,-15.67%,"🏦 Insurance, 💳 Financial services, 💰 Investment"
Deckers Brands,$17.89 B,USA,$695.38,0.14%,82.61%,"🛍️ Retail, 👟 Footwear"
BioMarin Pharmaceutical,$17.65 B,USA,$92.94,-2.11%,-10.97%,"💊 Pharmaceuticals, 🧬 Biotech"
Telefonica Brasil,$17.97 B,Brazil,$10.77,-0.28%,51.26%,📡 Telecommunication
Sirius XM,$17.81 B,USA,$4.64,-1.49%,-24.68%,📡 Telecommunication
Axon Enterprise,$17.71 B,USA,$236.38,0.45%,37.66%,N/A
Celltrion,$17.73 B,South Korea,$127.75,6.41%,-1.08%,"💊 Pharmaceuticals, 🧬 Biotech"
China Railway Group,$17.69 B,China,$0.43,-0.89%,-24.56%,🏗 Construction
Nokia,$17.83 B,Finland,$3.18,2.58%,-35.10%,👩‍💻 Tech
Essity,$17.72 B,Sweden,$25.36,0.23%,-1.51%,N/A
PBBank (Public Bank Bhd),$17.61 B,Malaysia,$0.91,-0.47%,-9.00%,"🏦 Banks, 💳 Financial services"
Clorox,$17.56 B,USA,$141.55,-1.46%,-5.77%,🛍 Consumer goods
MFHC,$17.60 B,Taiwan,$1.25,0.64%,22.55%,"🏦 Banks, 💳 Financial services"
Vertiv Holdings,$17.98 B,USA,$47.14,4.49%,231.04%,N/A
SBI Life Insurance,$17.60 B,India,$17.58,0.65%,14.16%,🏦 Insurance
ZTO Express,$17.32 B,China,$21.31,0.24%,-18.07%,📦 Courier
Ems-Chemie,$17.48 B,Switzerland,$747.62,1.39%,9.58%,🧪 Chemicals
Warner Music Group,$17.50 B,USA,$33.93,-0.41%,2.14%,Entertainment
Arca Continental,$17.85 B,Mexico,$10.38,0.00%,23.72%,🥤 Beverages
Carlsberg,$17.42 B,Denmark,$120.34,0.46%,-5.53%,"🍷 Alcoholic beverages, 🥤 Beverages"
Yankuang Energy (Yanzhou Coal Mining),$17.51 B,China,$2.72,-1.86%,-50.55%,"⛏️ Mining, ⚡ Energy, ⛏️ Coal Mining"
Expeditors,$17.50 B,USA,$120.37,0.22%,11.61%,🚚 Transportation
Sonova,$17.50 B,Switzerland,$293.57,0.98%,14.07%,Medical devices
Olympus,$17.46 B,Japan,$14.50,-1.09%,-25.06%,N/A
"YPF
(Yacimientos Petrolíferos Fiscales)",$17.83 B,ar Argentina,$17.14,3.88%,131.62%,"🛢 Oil&Gas, ⚡ Energy"
Fresenius,$17.34 B,Germany,$30.79,0.04%,8.99%,⚕️ Healthcare
Aker BP,$17.37 B,Norway,$27.52,2.01%,-9.86%,"🛢 Oil&Gas, ⚡ Energy"
WSP Global,$17.37 B,Canada,$139.43,0.26%,18.04%,"💼 Professional services, 👷 Engineering"
Huntington Bancshares,$17.36 B,USA,$11.99,1.10%,-17.99%,"🏦 Banks, 💳 Financial services"
Hormel Foods,$17.15 B,USA,$31.38,-1.48%,-34.14%,🍴 Food
Standard Bank Group,$17.34 B,South Africa,$10.21,-0.20%,12.69%,"🏦 Banks, 💳 Financial services"
Waters Corporation,$17.27 B,USA,$292.14,-0.42%,-14.84%,"🏭 Manufacturing, 🔬 Scientific & Technical Instruments"
HDFC Life,$17.31 B,India,$8.05,-1.04%,14.67%,🏦 Insurance
Akamai,$17.25 B,USA,$114.41,-0.45%,27.22%,"👨‍💻 Software, 🖥️ Internet, 👩‍💻 Tech, 🔒 IT security"
Southwest Airlines,$17.32 B,USA,$29.07,-0.31%,-22.46%,"✈️ Airlines, 🌴 Travel, 🚚 Transportation"
Guotai Junan Securities,$17.25 B,China,$2.06,-0.61%,0.98%,"🏦 Banks, 💳 Financial services, 💰 Investment"
Kakao,$17.24 B,South Korea,$39.38,2.38%,-6.75%,"🖥️ Internet, 👩‍💻 Tech"
Abiomed,$17.18 B,USA,$381.02,0.00%,0.07%,Medical devices
Royalty Pharma,$17.13 B,UK,$28.57,-0.70%,-32.51%,"💊 Pharmaceuticals, 🧬 Biotech"
CTBC Financial Holding,$17.13 B,Taiwan,$0.88,2.42%,18.92%,"🏦 Banks, 💳 Financial services"
TDK,$17.14 B,Japan,$45.20,-1.66%,32.13%,🔌 Electronics
Hydro One,$17.19 B,Canada,$28.70,0.28%,4.97%,"🔋 Electricity, 🚰 Utility companies, ⚡ Energy"
